Used by,Component id,Version id,Component name,Component version name,Channel versions,License ids,License names,License families,Match type,Producer match type,Usage,In use,Operational Risk,Component policy status,Overridden By,Created At,Origin name,Origin id,Review Status,Reviewed by,Reviewed at,Project path,Source/Type,Snippet Review status,File Match Count,License Risk,Component Status,Component Notes,Fulfillment Required,Version Notes,Critical Vulnerability Count,High Vulnerability Count,Medium Vulnerability Count,Low Vulnerability Count,Release Date,Newer Versions,Commit Activity,Commits in Past 12 Months,Contributors in Past 12 Months,Deep License Ids,Deep License Names,Deep License Families,Comments
,d21bc95b-9a4c-4087-b224-0c5fb5ca33e6,3bef2e01-f9a1-41cb-9905-34a3441c6a68,.NET,5.0.0,5.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,In Violation,,04.03.21,nuget,runtime.native.System.IO.Ports/5.0.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,2,1,0,09.11.20,13,INCREASING,20897,786,,,,
,d21bc95b-9a4c-4087-b224-0c5fb5ca33e6,1a268836-929a-40f8-8c85-254e10ba24c0,.NET,5.0.0-rtm.20519.4,5.0.0-rtm.20519.4,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,"nuget, nuget, nuget, nuget","runtime.linux-arm.runtime.native.System.IO.Ports/5.0.0-rtm.20519.4, runtime.linux-x64.runtime.native.System.IO.Ports/5.0.0-rtm.20519.4, runtime.osx-x64.runtime.native.System.IO.Ports/5.0.0-rtm.20519.4, runtime.linux-arm64.runtime.native.System.IO.Ports/5.0.0-rtm.20519.4",NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,09.11.20,14,INCREASING,20897,786,,,,
,4528e144-e45f-4399-abed-78e582ef7699,e464f4ac-3c8b-44cb-a8cf-ec6732330ad2,@angular-devkit/architect,0.13.10,0.13.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular-devkit/architect/0.13.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,95,,,,,,,
,f7e6e6fa-2916-492b-8071-0dd71448e32a,3606b36b-b44e-4856-bb11-ae105bc24b57,@angular-devkit/build-angular,0.13.10,0.13.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular-devkit/build-angular/0.13.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,95,,,,,,,
,a1b04d28-7589-4e4e-a3df-819dac9bf9df,67fbbc01-fbb6-4794-a020-cfe12013261a,@angular-devkit/build-webpack,0.13.10,0.13.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular-devkit/build-webpack/0.13.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,94,,,,,,,
,e0cb72b1-7eed-407e-9427-9b657290612b,84c1bc5e-1220-44e1-8fc7-b1f0dcfce698,@angular/animations,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/animations/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,37856b2f-6be3-4016-8732-9127f6615f13,4a7aa77d-4d81-4121-a092-326ca35c2c18,@angular/cdk,7.3.7,7.3.7,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/cdk/7.3.7,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,04.04.19,85,,,,,,,
,21b243ea-f0d5-4a5c-88e5-7f03b5211f7c,0fbfa276-9f90-49fa-97f3-c5fb2a24471b,@angular/cli,7.3.10,7.3.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/cli/7.3.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,95,,,,,,,
,8613399f-4ee7-4dc1-b732-28deccbcb011,065df1ea-9ff4-4410-a04c-74dc1118ca08,@angular/common,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/common/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,c80aed26-8373-4160-8356-ac0b10c7514c,7e3a0034-41bd-4c28-ab6f-3bf04f5270d1,@angular/compiler,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/compiler/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,c80aed26-8373-4160-8356-ac0b10c7514c,94bc617e-bd15-416e-b37f-b2e928d0d057,@angular/compiler,9.0.0,9.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/compiler/9.0.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,06.02.20,120,,,,,,,
,bcda54cf-0fd0-4716-be89-75b7620f0f8c,71142238-c3f7-42a3-870f-6814d3f1cbfb,@angular/compiler-cli,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/compiler-cli/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,fc3238b4-e096-4048-9515-acae0add8eb5,5aa39f58-3f04-4921-8bb6-bc593c7c17dc,@angular/core,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/core/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,fc3238b4-e096-4048-9515-acae0add8eb5,54df1c82-d0e8-4a38-8f09-72742a19f859,@angular/core,9.0.0,9.0.0,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/core/9.0.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,06.02.20,120,,,,,,,
,3cb92940-38c7-4b70-bdec-0ccfc3459051,de359fa8-3f8b-40d9-88db-7a167a434491,@angular/flex-layout,7.0.0-beta.24,7.0.0-beta.24,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/flex-layout/7.0.0-beta.24,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,19.03.19,9,,,,,,,
,c9bb7a26-782a-46cc-9d4d-29e10e6bad20,8525848b-d00f-49ac-8265-0762d9b1d598,@angular/forms,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/forms/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,25d6ccc5-6250-4e3d-b2b1-018da2e0c8d5,1a189f79-2f21-4ab2-8cf9-1ad548c95fa7,@angular/language-service,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/language-service/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,a87863f2-0b2f-4af8-91b1-ac1edc1c0d6d,9ebfe8af-9099-4768-ae0a-6e0be0971eb6,@angular/platform-browser,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/platform-browser/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,1714ee73-d063-44e5-956d-28fa90b65ad6,456aebd5-1ab4-4c4e-9b33-1a91d0ff025b,@angular/platform-browser-dynamic,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/platform-browser-dynamic/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,128,,,,,,,
,1bb5c4c7-18de-41ff-821e-d18f8f26130f,28436e83-8b63-41f6-9b22-158f0d735ee0,@angular/router,7.2.16,7.2.16,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular/router/7.2.16,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,08.01.20,129,,,,,,,
,b57e62fc-1432-4c6f-98b8-7849fe146936,4bd28e5a-0ef6-4e5d-947b-768e1f2f62ed,@microsoft/signalr,5.0.0,5.0.0,7cae335f-1193-421e-92f1-8802b4243e93,Apache License 2.0,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@microsoft/signalr/5.0.0,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,09.11.20,5,,,,,,,
,482d42d3-903b-4dbb-a405-a6c5154acbc6,5b760888-4b38-41a8-9612-9f6ac8494608,@ngtools/webpack,7.3.10,7.3.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@ngtools/webpack/7.3.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,94,,,,,,,
,3278a754-03f3-4084-8312-81ee2ea0eebe,08028d50-6a64-4777-8089-e19c2f456e87,@schematics/angular,0.13.10,0.13.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@angular-devkit/build-optimizer/0.13.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,189,,,,,,,
,3278a754-03f3-4084-8312-81ee2ea0eebe,9dd8b68c-ab9e-409b-ad93-2519bbd1e76f,@schematics/angular,7.3.10,7.3.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,"npmjs, npmjs, npmjs","@angular-devkit/schematics/7.3.10, @schematics/angular/7.3.10, @angular-devkit/core/7.3.10",NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,188,,,,,,,
,143e7305-c9cf-436b-a63e-141f32f38bc3,113be1cc-d8db-49a0-909a-545c459ff22b,@schematics/update,0.13.10,0.13.10,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@schematics/update/0.13.10,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,30.03.20,94,,,,,,,
,e2d594dd-f723-43f2-9914-3c2af2ca4822,1bd2afa9-0449-4afe-8fc1-a701f731a525,@types/adal-angular,1.0.1,1.0.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/adal-angular/1.0.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11.04.18,0,,,,,,,
,32cb1b9e-672f-4a55-ae4a-efa8ac5fe4fa,e6a087f5-0b70-4e27-a709-85a3bb90c999,@types/anymatch,1.3.1,1.3.1,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/anymatch/1.3.1,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,13.02.19,0,,,,,,,
,d6f1345e-cb4b-4d81-9d79-eb56deb6bcb1,78acced4-7b8e-4a07-8feb-666710f97675,@types/applicationinsights-js,1.0.9,1.0.9,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/applicationinsights-js/1.0.9,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,03.12.18,0,,,,,,,
,39fa797a-4308-4f25-9f80-2d9866f617bf,5ba1a9c9-d5a2-4468-b650-f89635f39e24,@types/glob,7.1.3,7.1.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/glob/7.1.3,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,06.07.20,0,,,,,,,
,8c83c20d-32b4-45a0-beba-f062d61bf3ad,c98c286a-2092-4da8-b3d8-f1a4da0167b2,@types/jasmine,2.8.17,2.8.17,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,LOW,Not In Violation,,04.03.21,npmjs,@types/jasmine/2.8.17,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,22.06.20,7,,,,,,,
,8c83c20d-32b4-45a0-beba-f062d61bf3ad,e8ddde49-ad50-4e7d-bcea-6ae08c1f547b,@types/jasmine,2.8.9,2.8.9,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,04.03.21,npmjs,@types/jasmine/2.8.9,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,03.10.18,53,,,,,,,
,fb2c76a4-83ed-4aa4-9e63-79e30e97126b,c92fcbe8-ceec-474b-ac0e-9d131d8f3b4f,@types/jasminewd2,2.0.5,2.0.5,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,04.03.21,npmjs,@types/jasminewd2/2.0.5,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,03.10.18,3,,,,,,,
,fb2c76a4-83ed-4aa4-9e63-79e30e97126b,f1bcf20e-c402-4a0a-9666-0d9ab4d1bf10,@types/jasminewd2,2.0.8,2.0.8,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/jasminewd2/2.0.8,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,01.10.19,0,,,,,,,
,93fe6597-ac42-4e0a-a907-3a842143c969,43c11d73-fa8f-49ff-81f6-794cfcf42361,@types/jquery,2.0.51,2.0.51,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Direct Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,04.03.21,npmjs,@types/jquery/2.0.51,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,03.10.18,39,,,,,,,
,1fe45528-a509-4be2-ba97-db3455cc8f20,a9f610ff-0b9e-4fcd-9ee3-921b4e3fbfd4,@types/json-schema,7.0.6,7.0.6,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/json-schema/7.0.6,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,31.08.20,1,,,,,,,
,1d3752d0-805d-49fd-9fc6-0831135ad653,25f0fb4c-1a47-467b-bdb0-dd429ee51ebd,@types/minimatch,3.0.3,3.0.3,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,OK,Not In Violation,,04.03.21,npmjs,@types/minimatch/3.0.3,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,04.01.18,0,,,,,,,
,89521250-97db-4e76-996b-ac3110a10928,afa178b9-91aa-49eb-a562-742fdbcab428,@types/node,10.5.8,10.5.8,ad705c59-6893-4980-bdbf-0837f1823cc4,MIT License,PERMISSIVE,Transitive Dependency,,DYNAMICALLY_LINKED,true,MEDIUM,Not In Violation,,04.03.21,npmjs,@types/node/10.5.8,NOT_REVIEWED,,,Providence 1.0.0.0,KB_COMPONENT,,1,OK,UNREVIEWED,,UNREVIEWED,,0,0,0,0,11.08.18,634,,,,,,,
